Time, Theta AF3,Alpha AF3,Low beta AF3,High beta AF3, Gamma AF3, Theta AF4,Alpha AF4,Low beta AF4,High beta AF4, Gamma AF4, Theta T7,Alpha T7,Low beta T7,High beta T7, Gamma T7, Theta T8,Alpha T8,Low beta T8,High beta T8, Gamma T8, Theta Pz,Alpha Pz,Low beta Pz,High beta Pz, Gamma Pz
1454038708.329719,251.604126,230.989851,212.234474,83.924695,68.181041,422.403093,239.265470,239.238155,115.226349,144.547322,9047.651173,6814.783650,4414.166337,2251.367829,251.641836,176.264871,402.307150,499.556044,114.797984,110.114525,519.389867,198.032634,217.973900,191.466052,68.649706
1454038708.829333,184.654838,34.331164,88.932654,27.691979,21.890210,209.914119,25.286750,79.093144,63.663519,82.282732,2401.918649,1012.723685,473.196994,484.019635,166.330822,95.204172,93.715373,186.121309,54.893248,27.513462,250.250888,44.554370,75.349550,67.097544,29.915094
1454038709.329694,171.700585,10.423410,8.709519,3.615103,3.069491,114.136923,15.871292,15.291926,18.105778,15.966442,820.072940,316.798131,411.674894,345.024693,237.345147,30.730492,15.076461,12.599086,5.200379,4.011911,132.149635,18.316905,29.431025,23.304605,13.705721
1454038709.829706,40.994159,3.009905,1.966045,1.911436,1.387887,11.362966,3.126852,3.200646,2.756701,1.619709,485.583437,102.180827,90.950989,70.747417,37.457174,8.908040,6.842826,2.671726,2.478517,2.391277,35.654190,6.816233,5.756830,5.156067,2.456003
1454038710.329654,8.591466,3.403974,2.457739,2.247719,1.505284,4.178317,2.201850,1.991822,3.093361,2.378437,633.378449,96.494942,29.576031,6.988789,2.103886,7.202396,6.385926,2.495307,3.124655,1.961776,28.567863,5.352092,3.932970,2.740694,3.780879
1454038710.829693,8.300984,8.651039,8.381049,3.336619,2.571535,5.244731,2.117593,2.100980,4.225002,5.330760,72.908564,11.970678,3.704726,1.714081,0.948401,7.249210,6.002105,3.377710,4.265941,3.340067,9.343395,4.547376,5.520045,2.647110,4.787245
1454038711.329709,9.138264,12.206732,8.633863,4.490645,3.553387,9.898487,4.328879,8.201539,4.121626,4.641834,2.041031,0.919626,0.652794,1.016860,1.232721,7.387384,2.429736,2.867611,3.894205,4.390464,2.938326,2.954803,3.370087,2.288098,1.686532
1454038711.829686,4.725720,5.430954,4.708198,3.064902,3.494694,6.960916,5.065243,12.182197,3.613588,2.866612,1.619596,1.366544,0.942642,0.974229,1.183264,3.792019,5.385261,4.382651,2.411180,2.610750,1.369761,1.226147,1.903388,1.682900,1.213767
1454038712.329694,7.220299,5.067255,3.597572,2.686565,2.934107,6.207105,5.254029,7.744254,4.740051,2.697507,2.524138,1.389411,1.114205,0.796335,0.722405,5.054330,11.629175,6.225443,2.768792,1.670132,1.982350,1.020033,1.417279,1.411195,0.720461
1454038712.829689,33.609153,6.107376,5.031092,4.162681,3.018479,24.296014,9.345295,9.782613,4.696435,2.273366,7.385614,1.562790,1.841302,1.083919,0.651684,3.664277,13.178274,12.400690,3.346051,1.686161,1.803339,2.299642,1.571646,1.797284,1.417295
1454038713.329715,18.747004,3.732680,3.351089,4.639415,2.507291,17.873872,5.743301,4.124972,2.639059,2.676727,6.525808,1.599967,1.682516,0.917677,0.671308,2.894339,5.543299,6.072470,3.110935,1.827859,1.520458,1.319166,1.087725,1.411903,1.336734
1454038713.829685,3.685566,3.101796,4.092751,3.842644,2.211943,6.475628,3.828291,5.572872,2.566558,3.234416,6.464047,1.522401,1.057766,0.734719,0.527439,2.881767,5.691242,5.900912,2.450677,2.185702,1.360257,1.363939,1.169226,0.951330,0.885836
1454038714.329703,5.416227,7.410767,8.396178,4.901690,2.458804,7.951233,12.368400,9.993872,2.844081,3.026998,3.291716,1.789244,1.136295,0.764247,0.791719,6.372890,6.692894,8.349915,3.763253,3.286432,2.124737,2.899910,2.319359,1.425373,1.064436
1454038714.829716,12.896150,10.684962,6.835662,4.262448,2.360668,21.055914,17.057196,11.441270,3.985239,2.396450,2.683221,1.688258,0.689935,1.007559,0.885424,10.672207,3.123147,5.884318,5.191541,2.808702,2.673917,2.087901,1.223464,1.705362,0.794448
1454038715.329699,11.780104,12.608548,3.282728,3.317386,1.886897,13.503640,10.136773,3.796707,5.859145,2.764788,6.215280,2.115064,0.638435,1.120954,1.001192,7.009867,4.654392,3.985121,4.804369,2.145894,1.884704,3.740572,1.262166,1.649353,0.959074
1454038715.829714,28.575950,20.653051,4.907068,3.775230,1.970383,22.610594,10.750873,3.652815,5.545316,2.499055,6.653644,3.002667,0.620036,0.996132,1.128313,13.996766,7.320543,10.333646,5.087778,3.568092,2.012551,4.178893,4.279927,1.929171,1.128701
1454038716.329748,73.412013,36.606219,6.866749,2.743206,2.561829,48.576601,18.112170,3.544067,5.411104,4.369945,3.319708,2.664930,1.386566,1.311154,1.984120,22.986379,7.819984,9.099931,6.262345,4.763461,1.720668,2.933625,2.993731,2.374206,1.233445
1454038716.829686,28.199487,9.250029,6.352575,3.359792,2.478754,16.818635,6.679788,2.875013,4.530431,4.156920,11.161096,3.496513,1.438649,1.905842,2.834684,13.103159,8.884699,2.223787,5.169750,2.302329,2.077933,2.498420,2.910222,3.307102,1.497179
1454038717.329688,41.799435,8.152193,9.545916,5.647023,2.615671,28.138063,5.958333,2.590134,4.854402,4.524799,74.706497,8.221814,2.457824,2.708909,5.097196,5.864593,7.446528,4.114728,4.111568,2.269770,4.926704,2.469265,2.300112,3.021545,3.450470
1454038717.829703,17.268158,12.855733,4.031901,5.428266,4.469942,10.812447,4.603979,5.491753,10.446480,6.187413,66.188915,5.595655,1.938660,2.861023,3.878264,4.141141,7.452493,5.905174,4.863070,3.941440,4.039554,2.368042,4.440990,4.798743,2.595941
1454038718.329689,8.662994,17.012191,2.523421,4.130969,4.791843,10.710373,8.772084,5.579620,7.808969,6.067408,3.647853,1.190796,0.776393,2.115009,2.215116,3.650342,5.917270,5.894058,5.107317,3.499957,1.334327,3.662397,3.433244,3.483580,1.603294
1454038718.829358,31.018665,11.705633,3.339431,5.128668,4.379382,22.495040,4.916081,8.225772,7.548055,5.641794,1.972825,1.098296,0.953108,1.757806,2.786361,3.423114,5.711246,5.610618,2.816243,2.514605,2.975135,2.762988,1.419350,3.285914,2.540212
1454038719.329698,119.278234,12.113217,3.802398,5.478388,3.029618,54.512415,5.712309,6.252711,5.231139,5.208663,0.773322,0.611126,0.874749,1.864317,2.099864,5.909163,5.415005,3.816430,3.193349,3.240314,2.279480,2.802264,1.645451,3.261858,2.066434
1454038719.829689,185.902330,34.255465,3.396756,5.811169,3.363663,99.808749,10.443089,10.398115,6.664721,4.735340,2.928388,0.368955,0.712448,1.099290,0.681666,15.041916,5.651561,4.561729,3.698517,3.852860,1.041686,1.716878,1.760759,4.446796,1.751113
1454038720.329686,103.703459,24.148295,1.991186,2.954729,3.126614,53.589585,10.095094,7.674081,5.704591,3.705545,3.149470,0.808238,1.495190,0.967045,0.688880,10.491818,4.372587,7.816523,3.233797,3.521117,2.125725,2.532683,2.127807,2.072871,1.588225
